group,model,n,accuracy,recall,precision,f1,auc
low,baseline,213,0.647887323943662,0.7368421052631579,0.5833333333333334,0.6511627906976745,0.6953166815343443
low,extended,222,0.7072072072072072,0.6984126984126984,0.7652173913043478,0.7302904564315352,0.7236689814814815
high,baseline,213,0.6572769953051644,0.6949152542372882,0.6890756302521008,0.6919831223628692,0.7032114183764496
high,extended,188,0.6861702127659575,0.7171717171717171,0.696078431372549,0.7064676616915423,0.7499148791283623
